                                                   count    min       max       sum     avg
receiveDBRMessage                                    264    264       264       264     264
receiveDBRMessageUpdate                               35     35        35        35      35
receiveDBRMessageUpdateWithRelated                   229    229       229       229     229
receiveDBRMessageDelayedInMillis                     264      4      5775    108101     409
skipDBRMessageWhenIndexNotAvailable                    0      0         0         0       0
skipDBRMessageWhenIndexReplicationPaused             111    111       111       111     111
processDBRMessageUpdateIssueIndex                      0      0         0         0       0
processDBRMessageUpdateCommentIndex                   13     13        13        13      13
processDBRMessageUpdateWorklogIndex                    7      7         7         7       7
processDBRMessageUpdateBytes                          20    990      5151     33542    1677
processDBRMessageUpdateSerializeInMillis              20      0        16        18       0
processDBRMessageUpdateIndexInMillis                  20      0      1139      1355      67
processDBRMessageUpdateErrors                          0      0         0         0       0
processDBRMessageUpdateWithRelatedIssueIndex         132      1         1       132       1
processDBRMessageUpdateWithRelatedCommentIndex       132      0        48       136       1
processDBRMessageUpdateWithRelatedWorklogIndex       132      0         0         0       0
processDBRMessageUpdateWithRelatedChangesIndex       132      1    101991    208135    1576
processDBRMessageUpdateWithRelatedBytes              132  38608  33839567  78691446  596147
processDBRMessageUpdateWithRelatedSerializeInMi...   132      0       894      1869      14
processDBRMessageUpdateWithRelatedIndexInMillis      132      0      5128     18078     136
processDBRMessageUpdateWithRelatedErrors               0      0         0         0       0
maxErrorsSample                                       10     10        10        10      10
processDBRMessageUpdateErrorsSample                  0.0    0.0       0.0       0.0     0.0
processDBRMessageUpdateWithRelatedErrorsSample       0.0    0.0       0.0       0.0     0.0
